IMDB ID,Title,Year,Date Published,Genre,Duration,Country,Language,Director,Writer,Production Company,Actors,Avg Rating,# of Ratings,Lifetime_Gross,Lifetime Gross - Adjusted ($),Decade
tt1124035,The Ides of March,2011,2011-10-28,"Drama, Thriller",101,USA,English,George Clooney,"George Clooney, Grant Heslov",Columbia Pictures,"Ryan Gosling, George Clooney, Philip Seymour Hoffman, Paul Giamatti, Evan Rachel Wood, Marisa Tomei, Jeffrey Wright, Max Minghella, Jennifer Ehle, Gregory Itzin, Michael Mantell, Yuri Sardarov, Bella Ivory, Maya Sayre, Danny Mooney",7.1,209134,"$40,962,534.00","$45,727,859.66",2010-2019
tt1124037,Free State of Jones,2016,2016-09-30,"Action, Biography, Drama",139,USA,English,Gary Ross,"Gary Ross, Leonard Hartman",Route One Entertainment,"Matthew McConaughey, Gugu Mbatha-Raw, Mahershala Ali, Keri Russell, Christopher Berry, Sean Bridgers, Jacob Lofland, Thomas Francis Murphy, Bill Tangradi, Brian Lee Franklin, Kerry Cahill, Joe Chrest, Jessica Collins, Donald Watkins, Jill Jane Clements",6.9,46676,"$20,810,036.00","$21,772,472.09",2010-2019
tt1124039,Echelon Conspiracy,2009,2009-02-27,"Action, Crime, Mystery",105,USA,"English, Russian",Greg Marcks,"Michael Nitsberg, Kevin Alyn Elders",Dark Castle Entertainment,"Shane West, Edward Burns, Ving Rhames, Jonathan Pryce, Amara Zaragoza, Yuriy Kutsenko, Sergey Gubanov, Martin Sheen, Ilan Goodman, Todd Jensen, Steven Elder, Sandra De Sousa, Greg Donaldson, Andrea Enright, Trevor White",5.8,18341,"$666,009.00","$779,536.97",2000-2009
tt1124388,Play the Game,2009,2009-08-28,"Comedy, Romance",105,USA,English,Marc Fienberg,Marc Fienberg,Story Films,"Paul Campbell, Andy Griffith, Doris Roberts, Marla Sokoloff, Liz Sheridan, Clint Howard, Rance Howard, Geoffrey Owens, Juliette Jeffers, Marie Caldare, Bunny Levine, Monica Garcia, Sergio Enrique, Michelle Pierce, Mario Di Donato",6.4,2524,"$659,483.00","$771,898.54",2000-2009
tt1125849,The Wrestler,2008,2009-01-16,"Drama, Sport",109,"USA, France",English,Darren Aronofsky,Robert Siegel,Wild Bunch,"Mickey Rourke, Marisa Tomei, Evan Rachel Wood, Mark Margolis, Todd Barry, Wass Stevens, Judah Friedlander, Ernest Miller, Dylan Keith Summers, Tommy Farra, Mike Miller, Marcia Jean Kurtz, John D'Leo, Ajay Naidu, Gregg Bello",7.9,280142,"$26,238,243.00","$30,601,554.48",2000-2009
tt1125929,Love Ranch,2010,2011-01-06,"Biography, Comedy, Drama",117,"USA, Germany",English,Taylor Hackford,Mark Jacobson,Aramid Entertainment Fund,"Helen Mirren, Joe Pesci, Sergio Peris-Mencheta, Gina Gershon, Taryn Manning, Scout Taylor-Compton, Bai Ling, Elise Neal, Bryan Cranston, Rick Gomez, M.C. Gainey, Gil Birmingham, Emily Rios, Melora Walters, Raoul Max Trujillo",5.6,2786,"$137,885.00","$158,784.39",2010-2019
tt1126590,Big Eyes,2014,2014-12-26,"Biography, Crime, Drama",106,"USA, Canada","English, French, Italian",Tim Burton,"Scott Alexander, Larry Karaszewski",The Weinstein Company,"Amy Adams, Christoph Waltz, Danny Huston, Krysten Ritter, Jason Schwartzman, Terence Stamp, Jon Polito, Delaney Raye, Madeleine Arthur, James Saito, Farryn VanHumbeck, Guido Furlani, Elisabetta Fantone, Emily Maddison, Brent Chapman",7.0,79637,"$14,482,031.00","$15,361,159.09",2010-2019
tt1126591,Burlesque,2010,2010-12-17,"Drama, Music, Musical",119,USA,"Ukrainian, English",Steve Antin,Steve Antin,Screen Gems,"Cher, Christina Aguilera, Eric Dane, Cam Gigandet, Julianne Hough, Alan Cumming, Peter Gallagher, Kristen Bell, Stanley Tucci, Dianna Agron, Glynn Turman, David Walton, Terrence Jenkins, Chelsea Traille, Tanee McCall",6.4,72534,"$39,440,655.00","$45,418,720.67",2010-2019
tt1126618,Morning Glory,2010,2011-01-21,"Comedy, Drama, Romance",107,USA,"English, Ukrainian",Roger Michell,Aline Brosh McKenna,Bad Robot,"Rachel McAdams, Noah Bean, Jack Davidson, Vanessa Aspillaga, Jeff Hiller, Linda Powell, Mike Hydeck, Joseph J. Vargas, Mario Frieson, Kevin Herbst, Jerome Weinstein, Steve Park, David Fonteno, Patti D'Arbanville, Jeff Goldblum",6.5,69007,"$31,011,732.00","$35,712,216.07",2010-2019
tt1127180,Drag Me to Hell,2009,2009-05-27,"Horror, Thriller",99,USA,"English, Spanish, Hungarian, Czech",Sam Raimi,"Sam Raimi, Ivan Raimi",Universal Pictures,"Alison Lohman, Justin Long, Lorna Raver, Dileep Rao, David Paymer, Adriana Barraza, Chelcie Ross, Reggie Lee, Molly Cheek, Bojana Novakovic, Kevin Foster, Alexis Cruz, Ruth Livier, Shiloh Selassie, Flor de Maria Chahua",6.5,180019,"$42,100,625.00","$49,277,102.05",2000-2009
